episode,level,total_reward,steps_taken,treasures_collected,final_score,lives_remaining,epsilon,duration_sec,avg_reward_100,avg_treasures_100,walls_hit,explored_cells,hint_accuracy
75,hard,502.8,160,2,25,0,0.02,16.79,409.27,1.33,52,44,67.5
76,hard,188.86,26,1,0,0,0.02,2.17,406.37,1.33,1,20,73.08
77,hard,344.06,123,1,0,0,0.02,10.43,405.56,1.32,26,42,64.23
78,hard,472.61,102,2,20,0,0.02,8.83,406.42,1.33,17,47,66.67
79,hard,302.03,144,1,0,0,0.02,12.41,405.1,1.33,47,32,54.86
80,hard,549.39,130,2,35,0,0.02,12.76,406.9,1.34,15,59,63.08
81,hard,307.82,81,1,5,0,0.02,5.27,405.68,1.33,7,40,58.02
82,hard,243.52,70,1,-30,0,0.02,7.55,403.7,1.33,15,36,70.0
83,hard,526.58,150,2,5,0,0.02,11.76,405.18,1.34,34,48,60.67
84,hard,667.94,194,3,90,0,0.02,13.04,408.31,1.36,72,52,60.82
85,hard,737.66,288,3,95,0,0.02,21.98,412.18,1.38,93,60,49.65
86,hard,504.61,138,2,30,0,0.02,14.23,413.26,1.38,25,52,56.52
87,hard,369.91,115,1,5,0,0.02,25.63,412.76,1.38,10,49,53.04
88,hard,522.39,122,2,25,0,0.02,13.28,414.01,1.39,31,64,62.3
89,hard,435.81,182,1,-10,0,0.02,15.64,414.25,1.38,22,58,52.2
90,hard,275.61,80,1,-15,0,0.02,5.99,412.71,1.38,12,37,57.5
91,hard,305.41,95,1,0,0,0.02,7.45,411.53,1.37,10,38,54.74
92,hard,300.54,78,1,10,0,0.02,6.18,410.33,1.37,18,47,69.23
93,hard,310.88,64,1,-5,0,0.02,4.66,409.26,1.37,5,46,56.25
94,hard,325.09,176,1,0,0,0.02,13.21,408.36,1.36,50,33,53.98
95,hard,800.23,288,3,30,0,0.02,22.3,412.49,1.38,98,77,57.29
96,hard,414.98,146,1,0,0,0.02,11.61,412.51,1.38,17,54,56.85
97,hard,660.28,137,3,85,0,0.02,13.54,415.07,1.39,25,59,62.04
98,hard,541.22,157,2,-5,0,0.02,15.75,416.35,1.4,46,61,67.52
99,hard,299.59,75,1,-20,0,0.02,7.6,415.17,1.39,7,47,54.67
100,hard,436.24,87,2,45,0,0.02,8.35,415.38,1.4,23,40,70.11
101,hard,748.86,299,3,65,0,0.02,27.11,420.48,1.42,83,57,60.2
102,hard,304.08,62,1,0,0,0.02,4.19,422.79,1.43,3,41,58.06
103,hard,337.35,102,1,-5,0,0.02,6.83,423.26,1.43,12,42,56.86
104,hard,361.49,93,1,0,0,0.02,8.16,424.1,1.43,6,54,55.91
105,hard,408.4,71,2,45,0,0.02,5.49,425.0,1.44,22,36,74.65
106,hard,1282.45,493,4,105,0,0.02,34.96,435.08,1.47,110,113,50.51
107,hard,394.39,149,1,15,0,0.02,10.98,436.77,1.47,21,53,53.02
108,hard,213.72,42,1,5,0,0.02,3.08,435.22,1.47,3,24,61.9
109,hard,533.83,113,2,50,0,0.02,8.85,435.31,1.47,14,62,56.64
110,hard,224.84,33,1,0,0,0.02,2.53,431.98,1.46,0,21,72.73
111,hard,752.54,253,2,25,0,0.02,18.2,437.15,1.47,44,96,50.2
112,hard,214.77,48,1,0,0,0.02,3.46,437.28,1.47,9,27,60.42
113,hard,340.98,240,1,-15,0,0.02,18.98,437.71,1.47,106,31,57.5
114,hard,434.77,177,1,-15,0,0.02,22.0,438.83,1.47,34,62,59.32
115,hard,825.19,458,3,65,0,0.02,49.12,443.77,1.49,227,72,49.34
116,hard,253.06,52,1,0,0,0.02,5.54,439.22,1.49,5,38,57.69
117,hard,894.92,145,4,95,0,0.02,13.92,443.16,1.51,25,77,67.59
118,hard,285.54,70,1,0,0,0.02,6.13,441.53,1.51,8,36,64.29
119,hard,520.52,143,2,40,0,0.02,13.07,443.46,1.52,18,51,58.74
