episode,level,total_reward,steps_taken,treasures_collected,final_score,lives_remaining,epsilon,duration_sec,avg_reward_100,avg_treasures_100,walls_hit,explored_cells,hint_accuracy
76,medium,1122.69,111,5,290,5,0.03,2.57,692.17,3.66,5,50,71.17
77,medium,1062.67,128,5,265,3,0.03,3.0,696.98,3.68,18,55,63.28
78,medium,1022.06,109,5,230,1,0.03,2.67,701.15,3.69,7,52,68.81
79,medium,1027.75,99,5,255,3,0.03,2.49,705.28,3.71,11,51,77.78
80,medium,1065.07,95,5,275,3,0.03,2.71,709.78,3.73,7,54,71.58
81,medium,1058.59,113,5,265,4,0.03,3.28,714.08,3.74,15,52,67.26
82,medium,923.27,109,5,125,0,0.03,3.28,716.64,3.76,8,58,66.97
83,medium,1013.15,93,5,260,3,0.03,2.1,720.21,3.77,7,48,73.12
84,medium,891.63,104,5,155,0,0.03,2.45,722.25,3.79,8,45,67.31
85,medium,1033.37,98,5,245,2,0.03,2.56,725.91,3.8,2,44,72.45
86,medium,1053.13,81,5,250,3,0.03,2.32,729.71,3.81,1,47,77.78
87,medium,911.89,129,5,130,0,0.03,2.46,731.81,3.83,20,52,59.69
88,medium,1033.9,104,5,230,2,0.03,3.08,735.24,3.84,4,52,71.15
89,medium,1075.42,90,5,255,4,0.03,2.84,739.06,3.85,6,55,72.22
90,medium,428.04,42,3,85,0,0.03,1.3,735.61,3.84,5,17,61.9
91,medium,1019.26,84,5,255,2,0.03,2.0,738.72,3.86,2,45,78.57
92,medium,1050.09,102,5,240,3,0.03,2.26,742.11,3.87,4,54,70.59
93,medium,544.44,95,3,35,0,0.03,2.45,739.98,3.86,21,35,65.26
94,medium,1010.95,91,5,275,3,0.03,2.26,742.87,3.87,15,53,76.92
95,medium,419.23,19,3,100,0,0.03,0.4,739.46,3.86,0,14,89.47
96,medium,962.7,178,5,215,3,0.03,3.9,741.78,3.88,74,56,42.13
97,medium,1008.18,123,5,260,4,0.03,2.95,744.53,3.89,33,54,54.47
98,medium,1048.54,117,5,250,4,0.03,2.66,747.63,3.9,19,50,61.54
99,medium,423.31,190,3,70,0,0.03,4.11,744.36,3.89,92,19,39.47
100,medium,1057.37,117,5,300,3,0.03,2.82,747.49,3.9,15,63,61.54
101,medium,1007.36,93,5,240,3,0.03,2.13,754.63,3.93,19,46,73.12
102,medium,1022.0,90,5,270,3,0.03,2.08,763.41,3.97,8,45,76.67
103,medium,1067.19,105,5,260,2,0.03,2.39,771.05,4.0,7,59,67.62
104,medium,922.2,114,5,140,0,0.03,2.88,777.14,4.03,14,56,68.42
105,medium,915.79,105,5,140,0,0.03,3.19,780.35,4.05,8,50,62.86
106,medium,1040.33,86,5,235,1,0.03,2.08,782.79,4.07,2,48,75.58
107,medium,1116.12,129,5,280,4,0.03,2.99,788.11,4.09,7,54,66.67
108,medium,1084.12,102,5,260,4,0.03,2.13,794.25,4.12,6,56,70.59
109,medium,1012.48,86,5,245,3,0.03,2.1,793.36,4.12,6,45,79.07
