episode,level,total_reward,steps_taken,treasures_collected,final_score,lives_remaining,epsilon,duration_sec,avg_reward_100,avg_treasures_100,walls_hit,explored_cells,hint_accuracy
76,easy,624.46,36,3,210,4,0.05,0.37,539.25,2.74,1,21,86.11
77,easy,655.63,62,3,210,4,0.05,0.51,540.76,2.74,7,26,66.13
78,easy,606.94,38,3,195,2,0.05,0.24,541.61,2.74,1,21,84.21
79,easy,591.02,41,3,185,1,0.05,0.28,542.23,2.75,2,21,80.49
80,easy,614.54,43,3,195,3,0.05,0.31,543.14,2.75,2,24,81.4
81,easy,585.65,40,3,180,2,0.05,0.32,543.66,2.75,3,22,85.0
82,easy,615.28,39,3,195,2,0.05,0.38,544.53,2.76,0,22,84.62
83,easy,596.78,32,3,195,2,0.05,0.28,545.16,2.76,1,20,90.62
84,easy,640.47,53,3,210,3,0.05,0.5,546.3,2.76,6,26,71.7
85,easy,626.7,44,3,210,3,0.05,0.35,547.24,2.76,3,23,77.27
86,easy,633.5,42,3,210,4,0.05,0.37,548.25,2.77,1,22,80.95
87,easy,659.55,46,3,210,5,0.05,0.56,549.53,2.77,1,22,78.26
88,easy,612.96,63,3,195,2,0.05,0.61,550.25,2.77,8,24,66.67
89,easy,637.31,39,3,210,3,0.05,0.37,551.23,2.78,0,23,84.62
90,easy,635.28,39,3,210,3,0.05,0.32,552.16,2.78,0,22,84.62
91,easy,594.79,48,3,200,3,0.05,0.37,552.63,2.78,7,20,70.83
92,easy,614.91,34,3,215,3,0.05,0.4,553.3,2.78,5,19,91.18
93,easy,615.67,48,3,210,3,0.05,0.62,553.98,2.78,9,22,83.33
94,easy,622.6,42,3,210,3,0.05,0.53,554.71,2.79,3,23,78.57
95,easy,620.81,31,3,210,3,0.05,0.34,555.4,2.79,0,21,93.55
96,easy,564.58,41,3,180,1,0.05,0.53,555.5,2.79,4,24,87.8
97,easy,623.24,44,3,195,2,0.05,0.47,556.2,2.79,1,27,79.55
98,easy,606.04,39,3,195,2,0.05,0.37,556.7,2.8,2,23,82.05
99,easy,620.65,68,3,195,3,0.05,0.6,557.35,2.8,9,32,64.71
100,easy,631.47,51,3,210,3,0.05,0.48,558.09,2.8,4,23,72.55
101,easy,633.8,40,3,210,2,0.05,0.38,564.55,2.83,1,24,82.5
102,easy,280.37,27,2,50,0,0.05,0.27,564.43,2.83,4,12,74.07
103,easy,612.43,44,3,195,3,0.05,0.49,564.42,2.83,3,23,81.82
104,easy,615.06,39,3,195,3,0.05,0.34,564.13,2.83,0,22,84.62
105,easy,617.29,31,3,215,4,0.05,0.31,564.44,2.83,2,19,90.32
106,easy,581.46,34,3,195,2,0.05,0.36,563.77,2.83,1,22,88.24
107,easy,632.32,43,3,210,4,0.05,0.42,565.21,2.83,2,23,79.07
108,easy,622.48,39,3,200,2,0.05,0.37,569.98,2.85,0,23,84.62
109,easy,624.27,42,3,210,3,0.05,0.47,570.4,2.85,3,21,80.95
110,easy,615.22,40,3,195,2,0.05,0.46,574.69,2.87,1,23,85.0
111,easy,312.1,24,2,45,0,0.05,0.4,575.62,2.88,0,14,83.33
112,easy,617.58,42,3,195,2,0.05,0.57,575.44,2.88,1,23,83.33
113,easy,638.77,34,3,230,4,0.05,0.46,579.84,2.9,1,24,88.24
114,easy,615.22,40,3,195,3,0.05,0.52,583.08,2.92,1,23,85.0
115,easy,601.76,40,3,195,2,0.05,0.5,582.72,2.92,3,22,82.5
116,easy,623.17,38,3,210,3,0.05,0.55,583.03,2.92,3,22,86.84
117,easy,617.76,44,3,195,3,0.05,0.53,582.95,2.92,1,23,81.82
118,easy,595.62,38,3,185,2,0.05,0.41,582.7,2.92,1,22,86.84
119,easy,631.53,43,3,195,3,0.05,0.41,582.92,2.92,0,27,81.4
120,easy,592.01,36,3,195,2,0.05,0.44,582.9,2.92,5,22,86.11
121,easy,575.24,43,3,180,2,0.05,0.53,581.64,2.92,6,22,76.74
122,easy,625.76,43,3,210,2,0.05,0.55,583.5,2.92,4,21,86.05
123,easy,450.3,39,3,80,0,0.05,0.48,581.8,2.92,4,20,76.92
124,easy,610.86,40,3,195,3,0.05,0.5,584.92,2.93,1,23,85.0
125,easy,611.07,35,3,200,2,0.05,0.48,588.49,2.94,0,20,88.57
126,easy,635.28,39,3,210,3,0.05,0.39,588.4,2.94,0,22,84.62
127,easy,604.2,44,3,195,2,0.05,0.46,588.13,2.94,1,26,81.82
128,easy,641.08,47,3,210,3,0.05,0.46,588.12,2.94,0,24,78.72
129,easy,605.87,45,3,195,2,0.05,0.47,591.24,2.95,4,22,77.78
130,easy,628.17,35,3,210,4,0.05,0.37,591.56,2.95,0,21,88.57
131,easy,624.04,44,3,180,2,0.05,0.38,591.5,2.95,3,25,84.09
132,easy,615.88,47,3,195,3,0.05,0.41,591.58,2.95,4,24,80.85
133,easy,608.17,35,3,195,3,0.05,0.33,594.95,2.96,0,21,88.57
134,easy,660.4,39,3,210,5,0.05,0.46,595.56,2.96,0,23,84.62
135,easy,609.39,41,3,195,3,0.05,0.4,597.14,2.96,2,22,82.93
136,easy,608.73,41,3,195,3,0.05,0.35,597.22,2.96,2,22,85.37
137,easy,593.41,40,3,195,2,0.05,0.35,597.14,2.96,1,25,82.5
138,easy,325.26,29,2,45,0,0.05,0.22,595.95,2.95,1,16,75.86
139,easy,624.35,36,3,210,4,0.05,0.28,596.18,2.95,1,21,86.11
140,easy,611.14,54,3,195,2,0.05,0.53,595.59,2.95,9,24,79.63
141,easy,616.82,41,3,210,4,0.05,0.49,599.09,2.96,4,21,78.05
142,easy,582.72,40,3,180,1,0.05,0.46,599.07,2.96,3,23,80.0
143,easy,605.43,40,3,195,3,0.05,0.4,599.39,2.96,3,22,85.0
144,easy,624.67,37,3,210,3,0.05,0.37,599.43,2.96,2,22,86.49
145,easy,612.74,38,3,195,3,0.05,0.39,599.55,2.96,1,23,86.84
146,easy,579.51,43,3,185,2,0.05,0.46,599.37,2.96,6,21,79.07
147,easy,627.8,40,3,210,4,0.05,0.37,599.28,2.96,3,23,85.0
148,easy,628.11,36,3,210,4,0.05,0.41,599.42,2.96,1,22,88.89
149,easy,604.46,36,3,195,2,0.05,0.46,599.55,2.96,1,21,86.11
150,easy,584.85,36,3,220,3,0.05,0.51,599.02,2.96,7,17,83.33
151,easy,597.38,49,3,195,1,0.05,0.65,598.78,2.96,8,23,69.39
152,easy,606.46,39,3,195,3,0.05,0.45,598.89,2.96,2,22,87.18
153,easy,626.82,36,3,210,3,0.05,0.44,598.92,2.96,1,22,86.11
154,easy,610.36,42,3,200,2,0.05,0.6,598.86,2.96,3,23,78.57
155,easy,596.53,43,3,195,2,0.05,0.57,600.7,2.96,6,22,79.07
156,easy,610.32,35,3,195,2,0.05,0.37,600.32,2.96,0,22,88.57
157,easy,298.02,20,2,45,0,0.05,0.2,597.12,2.95,2,13,95.0
158,easy,607.53,29,3,230,3,0.05,0.31,597.15,2.95,2,17,93.1
159,easy,462.09,37,3,80,0,0.05,0.53,595.76,2.95,2,22,83.78
160,easy,634.0,44,3,210,4,0.05,0.64,596.01,2.95,1,22,79.55
161,easy,596.35,42,3,185,2,0.05,0.5,595.63,2.95,1,21,83.33
162,easy,313.78,29,2,45,0,0.05,0.35,592.26,2.94,1,14,75.86
163,easy,619.31,38,3,210,4,0.05,0.65,592.09,2.94,3,21,84.21
164,easy,652.3,47,3,210,5,0.05,0.76,592.37,2.94,6,24,80.85
165,easy,628.11,36,3,210,4,0.05,0.47,592.69,2.94,1,22,88.89
166,easy,611.35,40,3,195,3,0.05,0.6,592.6,2.94,1,22,82.5
167,easy,633.98,44,3,210,3,0.05,0.6,592.64,2.94,1,23,79.55
168,easy,613.58,29,3,200,3,0.05,0.35,592.75,2.94,0,20,96.55
169,easy,624.46,38,3,210,3,0.05,0.59,592.79,2.94,3,22,89.47
170,easy,616.11,31,3,230,3,0.05,0.38,596.32,2.95,2,19,93.55
171,easy,608.17,35,3,195,3,0.05,0.37,596.14,2.95,0,21,88.57
172,easy,631.24,38,3,210,3,0.05,0.35,596.16,2.95,1,23,84.21
173,easy,448.8,27,3,105,0,0.05,0.29,594.61,2.95,1,17,92.59
174,easy,617.29,39,3,195,3,0.05,0.4,594.96,2.95,0,23,84.62
175,easy,267.29,40,2,15,-1,0.05,0.57,591.98,2.94,14,15,87.5
176,easy,604.46,36,3,195,2,0.05,0.47,591.78,2.94,1,21,86.11
177,easy,617.8,38,3,210,3,0.05,0.37,591.41,2.94,3,21,81.58
178,easy,625.65,39,3,210,4,0.05,0.41,591.59,2.94,2,22,82.05
179,easy,591.24,38,3,180,1,0.05,0.41,591.6,2.94,1,23,84.21
180,easy,604.67,37,3,195,2,0.05,0.56,591.5,2.94,2,22,86.49
181,easy,595.92,32,3,215,3,0.05,0.43,591.6,2.94,1,17,90.62
182,easy,628.98,38,3,210,4,0.05,0.5,591.74,2.94,1,22,84.21
183,easy,610.32,35,3,195,3,0.05,0.49,591.87,2.94,0,22,88.57
184,easy,623.57,39,3,210,4,0.05,0.8,591.7,2.94,2,22,82.05
185,easy,603.04,40,3,195,3,0.05,0.61,591.47,2.94,3,23,80.0
186,easy,591.99,41,3,180,2,0.05,0.61,591.05,2.94,2,23,82.93
187,easy,632.77,37,3,210,4,0.05,0.45,590.78,2.94,0,23,86.49
188,easy,612.58,36,3,215,3,0.05,0.48,590.78,2.94,1,23,86.11
189,easy,611.08,28,3,230,4,0.05,0.26,590.52,2.94,1,17,96.43
190,easy,317.92,28,2,45,0,0.05,0.26,587.34,2.93,2,15,82.14
191,easy,459.42,36,3,85,0,0.05,0.36,585.99,2.93,3,21,83.33
192,easy,613.1,32,3,215,2,0.05,0.28,585.97,2.93,1,22,93.75
193,easy,590.75,29,3,215,3,0.05,0.26,585.72,2.93,2,17,100.0
194,easy,625.0,39,3,210,4,0.05,0.33,585.75,2.93,2,21,84.62
195,easy,626.93,38,3,210,4,0.05,0.43,585.81,2.93,1,21,84.21
196,easy,628.79,43,3,210,3,0.05,0.38,586.45,2.93,2,24,79.07
197,easy,619.41,38,3,210,4,0.05,0.28,586.41,2.93,3,22,81.58
198,easy,609.84,42,3,200,2,0.05,0.33,586.45,2.93,3,23,78.57
199,easy,613.93,40,3,195,3,0.05,0.26,586.38,2.93,1,23,82.5
200,easy,624.45,37,3,210,4,0.05,0.42,586.31,2.93,2,22,86.49
201,easy,485.76,38,3,100,0,0.05,0.46,584.83,2.93,1,20,78.95
202,easy,600.73,29,3,195,3,0.05,0.34,588.04,2.94,0,21,96.55
203,easy,608.11,36,3,195,3,0.05,0.5,587.99,2.94,1,22,88.89
204,easy,642.17,52,3,210,3,0.05,0.79,588.26,2.94,3,25,75.0
205,easy,593.37,42,3,200,1,0.05,0.57,588.02,2.94,1,22,80.95
206,easy,606.49,45,3,195,2,0.05,0.45,588.27,2.94,4,23,77.78
207,easy,627.94,43,3,185,3,0.05,0.5,588.23,2.94,0,22,81.4
208,easy,615.76,43,3,195,3,0.05,0.45,588.16,2.94,0,22,81.4
209,easy,607.85,29,3,230,4,0.05,0.34,588.0,2.94,2,17,93.1
210,easy,639.91,41,3,210,3,0.05,0.41,588.25,2.94,0,23,82.93
211,easy,626.82,39,3,210,4,0.05,0.35,591.39,2.95,2,22,84.62
212,easy,619.49,32,3,210,4,0.05,0.34,591.41,2.95,1,21,90.62
213,easy,591.19,28,3,215,2,0.05,0.28,590.94,2.95,1,17,96.43
214,easy,595.13,32,3,200,2,0.05,0.29,590.74,2.95,1,23,93.75
215,easy,611.57,42,3,195,2,0.05,0.41,590.83,2.95,3,23,85.71
216,easy,630.32,35,3,210,4,0.05,0.41,590.91,2.95,0,22,88.57
217,easy,628.11,36,3,210,3,0.05,0.31,591.01,2.95,1,22,88.89
218,easy,606.11,31,3,215,3,0.05,0.29,591.11,2.95,2,21,90.32
219,easy,618.56,45,3,195,3,0.05,0.37,590.98,2.95,0,22,80.0
220,easy,610.62,37,3,195,3,0.05,0.26,591.17,2.95,0,22,86.49
221,easy,591.8,30,3,215,3,0.05,0.25,591.34,2.95,1,17,93.33
222,easy,628.17,35,3,210,3,0.05,0.33,591.36,2.95,0,21,88.57
223,easy,611.26,42,3,195,3,0.05,0.36,592.97,2.95,1,23,83.33
224,easy,626.5,36,3,210,4,0.05,0.26,593.13,2.95,1,22,86.11
225,easy,605.91,36,3,195,2,0.05,0.29,593.07,2.95,1,22,86.11
226,easy,612.75,27,3,230,4,0.05,0.27,592.85,2.95,0,16,100.0
227,easy,601.66,39,3,195,3,0.05,0.32,592.82,2.95,4,22,87.18
228,easy,633.48,40,3,210,4,0.05,0.39,592.75,2.95,1,24,82.5
229,easy,621.03,44,3,210,3,0.05,0.45,592.9,2.95,7,23,84.09
230,easy,597.32,30,3,215,3,0.05,0.29,592.59,2.95,1,18,96.67
231,easy,596.46,43,3,190,1,0.05,0.44,592.32,2.95,2,21,79.07
232,easy,601.23,37,3,195,3,0.05,0.36,592.17,2.95,2,21,83.78
233,easy,631.46,40,3,210,4,0.05,0.39,592.4,2.95,1,22,82.5
234,easy,635.35,39,3,210,3,0.05,0.38,592.15,2.95,0,23,84.62
235,easy,617.16,29,3,230,3,0.05,0.27,592.23,2.95,0,17,96.55
236,easy,595.16,39,3,180,1,0.05,0.44,592.09,2.95,0,22,84.62
237,easy,597.38,29,3,215,2,0.05,0.38,592.13,2.95,0,17,96.55
238,easy,604.03,33,3,215,3,0.05,0.28,594.92,2.96,0,18,90.91
239,easy,310.88,25,2,45,0,0.05,0.21,591.79,2.95,1,14,80.0
240,easy,612.61,44,3,195,3,0.05,0.4,591.8,2.95,3,24,81.82
241,easy,592.5,46,3,185,2,0.05,0.5,591.56,2.95,3,22,76.09
242,easy,601.88,38,3,195,3,0.05,0.36,591.75,2.95,3,22,84.21
243,easy,635.74,31,3,230,3,0.05,0.42,592.05,2.95,0,21,93.55
244,easy,614.95,37,3,195,2,0.05,0.4,591.95,2.95,0,23,86.49
245,easy,623.02,44,3,200,3,0.05,0.57,592.06,2.95,1,24,81.82
246,easy,617.75,31,3,230,4,0.05,0.31,592.44,2.95,0,18,93.55
247,easy,633.83,42,3,210,3,0.05,0.36,592.5,2.95,1,22,80.95
248,easy,610.0,42,3,195,3,0.05,0.49,592.32,2.95,1,22,80.95
249,easy,620.77,31,3,215,4,0.05,0.37,592.48,2.95,2,19,93.55
250,easy,279.17,40,2,50,0,0.05,0.57,589.43,2.94,20,14,92.5
251,easy,612.75,27,3,230,4,0.05,0.39,589.58,2.94,0,16,100.0
252,easy,639.05,31,3,230,4,0.05,0.39,589.91,2.94,2,19,90.32
253,easy,572.75,27,3,220,2,0.05,0.31,589.36,2.94,0,16,100.0
254,easy,608.78,35,3,215,3,0.05,0.42,589.35,2.94,0,19,88.57
255,easy,613.65,32,3,230,3,0.05,0.4,589.52,2.94,1,16,90.62
256,easy,606.82,36,3,195,3,0.05,0.46,589.48,2.94,1,22,86.11
257,easy,609.7,40,3,195,3,0.05,0.51,592.6,2.95,1,22,82.5
258,easy,630.32,35,3,210,3,0.05,0.43,592.83,2.95,0,22,88.57
259,easy,597.15,32,3,220,2,0.05,0.34,594.18,2.95,1,17,90.62
260,easy,611.58,33,3,230,3,0.05,0.35,593.96,2.95,2,17,90.91
261,easy,600.26,33,3,215,3,0.05,0.57,593.99,2.95,0,17,90.91
262,easy,622.95,42,3,210,4,0.05,0.54,597.09,2.96,3,22,78.57
263,easy,555.59,28,3,210,1,0.05,0.4,596.45,2.96,1,16,100.0
264,easy,632.77,37,3,210,3,0.05,0.43,596.25,2.96,0,23,86.49
265,easy,628.68,31,3,230,3,0.05,0.29,596.26,2.96,2,22,96.77
266,easy,637.01,29,3,230,5,0.05,0.33,596.52,2.96,2,19,93.1
267,easy,612.75,27,3,230,4,0.05,0.31,596.3,2.96,0,16,100.0
268,easy,599.53,29,3,215,3,0.05,0.27,596.16,2.96,0,18,96.55
269,easy,619.72,31,3,230,3,0.05,0.26,596.12,2.96,0,17,93.55
270,easy,610.54,28,3,230,4,0.05,0.21,596.06,2.96,1,16,100.0
271,easy,623.54,36,3,215,3,0.05,0.35,596.21,2.96,1,25,86.11
272,easy,617.46,31,3,210,3,0.05,0.37,596.08,2.96,2,21,93.55
273,easy,591.51,31,3,215,3,0.05,0.38,597.5,2.96,2,17,93.55
274,easy,567.3,32,3,220,2,0.05,0.35,597.0,2.96,3,18,87.5
275,easy,590.59,35,3,215,3,0.05,0.38,600.24,2.97,2,16,88.57
276,easy,565.72,32,3,215,2,0.05,0.28,599.85,2.97,3,19,87.5
277,easy,612.69,28,3,230,3,0.05,0.26,599.8,2.97,1,17,100.0
278,easy,611.4,28,3,230,3,0.05,0.4,599.66,2.97,1,17,96.43
279,easy,614.8,27,3,230,4,0.05,0.54,599.89,2.97,0,17,100.0
280,easy,577.9,27,3,205,1,0.05,0.26,599.62,2.97,0,16,100.0
281,easy,593.44,31,3,220,3,0.05,0.27,599.6,2.97,2,16,90.32
282,easy,612.75,27,3,230,4,0.05,0.26,599.44,2.97,0,16,100.0
283,easy,575.2,29,3,200,2,0.05,0.65,599.09,2.97,0,17,96.55
284,easy,614.9,27,3,230,4,0.05,0.64,599.0,2.97,0,17,100.0
285,easy,612.48,28,3,230,3,0.05,0.35,599.09,2.97,1,17,100.0
286,easy,572.2,32,3,220,2,0.05,0.38,598.89,2.97,1,17,90.62
287,easy,591.58,40,3,200,2,0.05,0.62,598.48,2.97,5,24,90.0
288,easy,595.3,29,3,215,3,0.05,0.54,598.31,2.97,0,17,96.55
289,easy,617.19,30,3,230,4,0.05,0.59,598.37,2.97,1,19,96.67
290,easy,614.9,27,3,230,4,0.05,0.34,601.34,2.98,0,17,100.0
291,easy,600.07,34,3,215,3,0.05,0.42,602.75,2.98,1,19,91.18
292,easy,637.86,33,3,230,4,0.05,0.33,603.0,2.98,0,23,90.91
293,easy,618.01,34,3,230,3,0.05,0.37,603.27,2.98,1,18,91.18
294,easy,611.19,28,3,230,4,0.05,0.47,603.13,2.98,1,17,96.43
295,easy,617.2,30,3,230,4,0.05,0.53,603.03,2.98,1,18,96.67
296,easy,617.16,29,3,230,4,0.05,0.3,602.92,2.98,0,17,96.55
297,easy,606.22,33,3,205,3,0.05,0.35,602.78,2.98,2,19,90.91
298,easy,607.35,38,3,210,3,0.05,0.36,602.76,2.98,1,24,86.84
299,easy,615.01,29,3,230,3,0.05,0.32,602.77,2.98,0,16,96.55
300,easy,612.75,27,3,230,4,0.05,0.27,602.65,2.98,0,16,100.0
301,easy,592.15,28,3,220,3,0.05,0.4,603.72,2.98,1,15,96.43
302,easy,614.9,27,3,230,3,0.05,0.3,603.86,2.98,0,17,100.0
303,easy,602.43,29,3,220,3,0.05,0.34,603.8,2.98,0,17,96.55
304,easy,621.4,28,3,220,4,0.05,0.3,603.59,2.98,1,17,96.43
305,easy,560.62,31,3,185,1,0.05,0.36,603.27,2.98,0,20,93.55
306,easy,570.97,28,3,220,2,0.05,0.34,602.91,2.98,1,17,96.43
307,easy,586.51,42,3,180,2,0.05,0.6,602.5,2.98,3,22,80.95
308,easy,615.58,32,3,230,4,0.05,0.34,602.5,2.98,1,17,90.62
309,easy,606.1,31,3,215,3,0.05,0.3,602.48,2.98,2,22,90.32
310,easy,635.4,38,3,230,5,0.05,0.32,602.43,2.98,3,19,81.58
311,easy,610.94,30,3,230,4,0.05,0.35,602.27,2.98,1,16,96.67
312,easy,608.56,35,3,230,4,0.05,0.33,602.16,2.98,4,18,85.71
313,easy,605.36,32,3,230,3,0.05,0.25,602.31,2.98,3,17,87.5
314,easy,601.66,29,3,215,2,0.05,0.22,602.37,2.98,0,19,96.55
315,easy,611.91,32,3,230,4,0.05,0.29,602.37,2.98,1,16,90.62
316,easy,592.75,27,3,215,3,0.05,0.24,602.0,2.98,0,16,100.0
317,easy,606.15,32,3,230,4,0.05,0.21,601.78,2.98,3,16,90.62
318,easy,617.46,31,3,230,3,0.05,0.25,601.89,2.98,0,17,93.55
319,easy,594.94,33,3,215,3,0.05,0.28,601.66,2.98,2,18,87.88
320,easy,609.62,35,3,195,3,0.05,0.29,601.65,2.98,0,22,88.57
321,easy,618.36,29,3,210,4,0.05,0.24,601.91,2.98,0,20,96.55
322,easy,592.75,27,3,215,3,0.05,0.25,601.56,2.98,0,16,100.0
323,easy,453.63,26,3,100,0,0.05,0.23,599.98,2.98,2,16,88.46
324,easy,591.4,28,3,215,2,0.05,0.29,599.63,2.98,1,17,96.43
325,easy,609.04,30,3,230,3,0.05,0.31,599.66,2.98,3,17,100.0
326,easy,620.25,33,3,220,3,0.05,0.39,599.74,2.98,2,17,90.91
327,easy,597.83,31,3,220,3,0.05,0.32,599.7,2.98,2,18,90.32
328,easy,614.9,27,3,230,4,0.05,0.23,599.51,2.98,0,17,100.0
329,easy,612.75,27,3,230,4,0.05,0.28,599.43,2.98,0,16,100.0
330,easy,594.3,36,3,215,2,0.05,0.33,599.4,2.98,3,18,83.33
331,easy,615.29,36,3,220,3,0.05,0.3,599.59,2.98,1,20,86.11
332,easy,614.9,27,3,230,3,0.05,0.25,599.73,2.98,0,17,100.0
333,easy,616.73,34,3,230,3,0.05,0.31,599.58,2.98,1,18,88.24
334,easy,607.74,29,3,230,4,0.05,0.31,599.3,2.98,2,17,93.1
335,easy,606.82,31,3,220,3,0.05,0.29,599.2,2.98,0,18,93.55
336,easy,592.83,29,3,220,1,0.05,0.26,599.18,2.98,0,22,96.55
337,easy,582.26,30,3,205,2,0.05,0.27,599.02,2.98,1,18,96.67
